Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Country
3/1/2020,2,0,0,2,39,20,41,-22,Indonesia
3/2/2020,2,0,0,2,41,20,41,-20,Indonesia
3/2/2020,2,0,0,2,2,0,0,2,Indonesia
3/2/2020,1,0,0,1,2,0,3,-1,Indonesia
3/3/2020,2,0,0,2,43,20,41,-18,Indonesia
3/3/2020,0,0,0,0,2,0,0,2,Indonesia
3/3/2020,1,1,0,0,1,1,8,-8,Indonesia
3/3/2020,0,0,0,0,2,0,3,-1,Indonesia
3/4/2020,2,0,0,2,45,20,41,-16,Indonesia
3/4/2020,0,0,0,0,2,0,0,2,Indonesia
3/4/2020,1,0,0,1,2,1,8,-7,Indonesia
3/4/2020,0,0,0,0,2,0,3,-1,Indonesia
3/5/2020,0,1,0,-1,45,21,41,-17,Indonesia
3/5/2020,0,0,0,0,2,0,0,2,Indonesia
3/5/2020,1,0,0,1,3,1,8,-6,Indonesia
3/5/2020,0,0,0,0,2,0,3,-1,Indonesia
3/6/2020,1,0,1,0,1,5,74,-78,Indonesia
3/6/2020,0,0,0,0,45,21,41,-17,Indonesia
3/6/2020,2,0,0,2,4,0,0,4,Indonesia
3/6/2020,1,0,0,1,4,1,8,-5,Indonesia
3/6/2020,0,0,0,0,2,0,3,-1,Indonesia
3/7/2020,0,0,0,0,1,5,74,-78,Indonesia
3/7/2020,0,2,0,-2,45,23,41,-19,Indonesia
3/7/2020,0,0,0,0,4,0,0,4,Indonesia
3/7/2020,0,0,0,0,4,1,8,-5,Indonesia
3/7/2020,0,0,0,0,2,0,3,-1,Indonesia
3/8/2020,1,0,3,-2,2,5,77,-80,Indonesia
3/8/2020,0,0,0,0,45,23,41,-19,Indonesia
3/8/2020,2,0,0,2,6,0,0,6,Indonesia
3/8/2020,0,0,0,0,4,1,8,-5,Indonesia
3/8/2020,1,1,0,0,1,8,8,-15,Indonesia
3/8/2020,0,0,0,0,2,0,3,-1,Indonesia
3/9/2020,0,0,0,0,2,5,77,-80,Indonesia
3/9/2020,0,1,0,-1,45,24,41,-20,Indonesia
3/9/2020,13,0,0,13,19,0,0,19,Indonesia
3/9/2020,0,0,0,0,4,1,8,-5,Indonesia
3/9/2020,0,0,0,0,1,8,8,-15,Indonesia
3/9/2020,0,0,0,0,2,0,3,-1,Indonesia
3/10/2020,0,0,8,-8,2,5,85,-88,Indonesia
3/10/2020,0,0,0,0,45,24,41,-20,Indonesia
3/10/2020,8,0,2,6,27,0,2,25,Indonesia
3/10/2020,0,0,0,0,4,1,8,-5,Indonesia
