DATE, Singapore Dollars to U.S. Dollar Spot Exchange Rate
11/28/2016,1.426
11/29/2016,1.4263
11/30/2016,1.4336
12/1/2016,1.427
12/2/2016,1.4207
12/5/2016,1.4232
12/6/2016,1.4195
12/7/2016,1.4182
12/8/2016,1.424
12/9/2016,1.4312
12/12/2016,1.4258
12/13/2016,1.4236
12/14/2016,1.4227
12/15/2016,1.4478
12/16/2016,1.445
12/19/2016,1.4458
12/20/2016,1.4443
12/21/2016,1.4434
12/22/2016,1.4476
12/23/2016,1.4469
12/26/2016,.
12/27/2016,1.449
12/28/2016,1.4522
12/29/2016,1.4482
12/30/2016,1.4465
1/2/2017,.
1/3/2017,1.4498
1/4/2017,1.4409
1/5/2017,1.4292
1/6/2017,1.4372
1/9/2017,1.4345
1/10/2017,1.4348
1/11/2017,1.4364
1/12/2017,1.4221
1/13/2017,1.4313
1/16/2017,.
1/17/2017,1.4171
1/18/2017,1.4235
1/19/2017,1.4289
1/20/2017,.
1/23/2017,1.4186
1/24/2017,1.4178
1/25/2017,1.4168
1/26/2017,1.425
1/27/2017,1.4281
1/30/2017,1.422
1/31/2017,1.4095
2/1/2017,1.4151
2/2/2017,1.4086
2/3/2017,1.407
2/6/2017,1.4113
2/7/2017,1.4163
2/8/2017,1.4149
2/9/2017,1.4195
2/10/2017,1.4194
2/13/2017,1.4235
2/14/2017,1.4204
2/15/2017,1.4202
2/16/2017,1.4186
2/17/2017,1.4197
2/20/2017,.
2/21/2017,1.4204
2/22/2017,1.4157
2/23/2017,1.4058
2/24/2017,1.4039
2/27/2017,1.4004
2/28/2017,1.399
3/1/2017,1.4088
3/2/2017,1.4114
3/3/2017,1.4155
3/6/2017,1.4119
3/7/2017,1.4106
3/8/2017,1.4175
3/9/2017,1.4192
3/10/2017,1.4136
3/13/2017,1.413
3/14/2017,1.414
3/15/2017,1.4121
3/16/2017,1.4012
3/17/2017,1.402
3/20/2017,1.3957
3/21/2017,1.3982
3/22/2017,1.3983
3/23/2017,1.3989
3/24/2017,1.3991
3/27/2017,1.3926
3/28/2017,1.3932
3/29/2017,1.3955
3/30/2017,1.3942
3/31/2017,1.3967
4/3/2017,1.3975
4/4/2017,1.3985
4/5/2017,1.4009
4/6/2017,1.4023
4/7/2017,1.4021
4/10/2017,1.4045
4/11/2017,1.4029
4/12/2017,1.3999
4/13/2017,1.3975
4/14/2017,1.3969
4/17/2017,1.3954
4/18/2017,1.3967
4/19/2017,1.3987
4/20/2017,1.3965
4/21/2017,1.3968
4/24/2017,1.3933
4/25/2017,1.3927
4/26/2017,1.3977
4/27/2017,1.3975
4/28/2017,1.397
5/1/2017,1.3958
5/2/2017,1.3951
5/3/2017,1.3951
5/4/2017,1.4008
5/5/2017,1.4041
5/8/2017,1.4049
5/9/2017,1.4112
5/10/2017,1.4099
5/11/2017,1.4084
5/12/2017,1.4044
5/15/2017,1.398
5/16/2017,1.3958
5/17/2017,1.3914
5/18/2017,1.3918
5/19/2017,1.3867
5/22/2017,1.3864
5/23/2017,1.3898
