Entity,Code,Day,total_vaccinations
Afghanistan,AFG,2/22/2021,0
Afghanistan,AFG,2/28/2021,8200
Afghanistan,AFG,3/16/2021,54000
Afghanistan,AFG,4/7/2021,120000
Afghanistan,AFG,4/22/2021,240000
Afghanistan,AFG,5/11/2021,504502
Afghanistan,AFG,5/20/2021,547901
Afghanistan,AFG,5/24/2021,573277
Afghanistan,AFG,5/26/2021,590454
Afghanistan,AFG,5/27/2021,593313
Afghanistan,AFG,5/30/2021,600152
Afghanistan,AFG,6/2/2021,626290
Afghanistan,AFG,6/3/2021,630305
Afghanistan,AFG,6/8/2021,641295
Afghanistan,AFG,6/14/2021,662003
Afghanistan,AFG,6/22/2021,765890
Afghanistan,AFG,6/27/2021,835694
Afghanistan,AFG,6/30/2021,886854
Afghanistan,AFG,7/5/2021,915671
Afghanistan,AFG,7/7/2021,934463
Afghanistan,AFG,7/11/2021,962093
Afghanistan,AFG,7/14/2021,1024168
Afghanistan,AFG,7/18/2021,1094257
Afghanistan,AFG,7/24/2021,1171064
Afghanistan,AFG,8/20/2021,1201286
Afghanistan,AFG,8/31/2021,1979652
Afghanistan,AFG,9/30/2021,2369625
Afghanistan,AFG,11/14/2021,4018197
Afghanistan,AFG,11/20/2021,5116767
Africa,,1/9/2021,0
Africa,,1/13/2021,2000
Africa,,1/15/2021,4000
Africa,,1/16/2021,7000
Africa,,1/19/2021,10976
Africa,,1/20/2021,13163
Africa,,1/22/2021,16890
Africa,,1/23/2021,18353
Africa,,1/24/2021,18353
Africa,,1/25/2021,19889
Africa,,1/26/2021,22712
Africa,,1/27/2021,25587
Africa,,1/28/2021,28779
Africa,,1/29/2021,30861
Africa,,1/30/2021,122206
Africa,,1/31/2021,158206
Africa,,2/1/2021,236712
Africa,,2/2/2021,295127
Africa,,2/3/2021,347149
Africa,,2/4/2021,390474
Africa,,2/5/2021,446986
Africa,,2/6/2021,504800
Africa,,2/8/2021,593502
Africa,,2/9/2021,661263
Africa,,2/10/2021,795836
Africa,,2/11/2021,908796
Africa,,2/12/2021,1165581
Africa,,2/13/2021,1446178
Africa,,2/15/2021,1766999
Africa,,2/16/2021,1965819
Africa,,2/17/2021,2147659
Africa,,2/18/2021,2304003
Africa,,2/19/2021,2514038
Africa,,2/20/2021,2616970
Africa,,2/21/2021,2623735
Africa,,2/22/2021,2745898
Africa,,2/23/2021,2854362
Africa,,2/24/2021,3151789
Africa,,2/25/2021,3435126
Africa,,2/26/2021,3677781
Africa,,2/27/2021,3866524
Africa,,2/28/2021,3874251
Africa,,3/1/2021,4092105
Africa,,3/2/2021,4253030
Africa,,3/3/2021,4424425
Africa,,3/4/2021,4570416
Africa,,3/5/2021,4808377
Africa,,3/6/2021,5013434
Africa,,3/7/2021,5054444
Africa,,3/8/2021,5402720
Africa,,3/9/2021,5543143
Africa,,3/10/2021,5883345
Africa,,3/11/2021,6071753
Africa,,3/12/2021,6381772
Africa,,3/13/2021,6785420
Africa,,3/14/2021,6801943
Africa,,3/15/2021,7194978
Africa,,3/16/2021,7430457
Africa,,3/17/2021,7632156
Africa,,3/18/2021,7819596
Africa,,3/19/2021,8102429
Africa,,3/20/2021,8194788
Africa,,3/21/2021,8216336
Africa,,3/22/2021,8338577
Africa,,3/23/2021,8484800
Africa,,3/24/2021,9420911
Africa,,3/25/2021,9709302
Africa,,3/26/2021,9977830
Africa,,3/27/2021,10303667
Africa,,3/28/2021,10562516
Africa,,3/29/2021,10775431
Africa,,3/30/2021,10972216
Africa,,3/31/2021,11476248
Africa,,4/1/2021,11729825
Africa,,4/2/2021,11883589
Africa,,4/3/2021,12018828
Africa,,4/4/2021,12082780
Africa,,4/5/2021,12236282
Africa,,4/6/2021,12575036
Africa,,4/7/2021,12960258
Africa,,4/8/2021,13685750
Africa,,4/9/2021,13840825
Africa,,4/10/2021,14000751
Africa,,4/11/2021,14150137
Africa,,4/12/2021,14259556
Africa,,4/13/2021,14372773
Africa,,4/14/2021,14720408
Africa,,4/15/2021,14863081
Africa,,4/16/2021,15071502
Africa,,4/17/2021,15369995
Africa,,4/18/2021,15940217
Africa,,4/19/2021,16153571
Africa,,4/20/2021,16319878
Africa,,4/21/2021,16544360
Africa,,4/22/2021,16629919
Africa,,4/23/2021,16816072
Africa,,4/24/2021,16889560
Africa,,4/25/2021,16968624
Africa,,4/26/2021,17067708
Africa,,4/27/2021,17236944
Africa,,4/28/2021,18296567
Africa,,4/29/2021,18412478
Africa,,4/30/2021,18553633
Africa,,5/1/2021,18680562
Africa,,5/2/2021,18737253
Africa,,5/3/2021,18912400
Africa,,5/4/2021,19208526
Africa,,5/5/2021,19465156
Africa,,5/6/2021,19624727
Africa,,5/7/2021,20217766
Africa,,5/8/2021,20470293
Africa,,5/9/2021,21199764
Africa,,5/10/2021,21661168
Africa,,5/11/2021,22093409
Africa,,5/12/2021,23173673
Africa,,5/13/2021,23349102
Africa,,5/14/2021,23545212
Africa,,5/15/2021,23859298
Africa,,5/16/2021,23952426
Africa,,5/17/2021,24419391
Africa,,5/18/2021,25194293
Africa,,5/19/2021,25785942
Africa,,5/20/2021,26225226
Africa,,5/21/2021,27003443
Africa,,5/22/2021,27828521
Africa,,5/23/2021,28053599
Africa,,5/24/2021,28573801
Africa,,5/25/2021,29272846
Africa,,5/26/2021,29659348
Africa,,5/27/2021,29882000
Africa,,5/28/2021,30063329
Africa,,5/29/2021,30663011
Africa,,5/30/2021,30985815
Africa,,5/31/2021,33013477
Africa,,6/1/2021,33811824
Africa,,6/2/2021,34313737
