Entity,Code,Day,total_boosters
Africa,,10/28/2021,28870
Africa,,10/29/2021,32750
Africa,,10/30/2021,71510
Africa,,10/31/2021,71510
Africa,,11/1/2021,124228
Africa,,11/2/2021,142786
Africa,,11/3/2021,153756
Africa,,11/4/2021,163744
Africa,,11/5/2021,173532
Africa,,11/6/2021,179218
Africa,,11/7/2021,189449
Africa,,11/8/2021,202552
Africa,,11/9/2021,213310
Africa,,11/10/2021,223337
Africa,,11/11/2021,233093
Africa,,11/12/2021,243348
Africa,,11/13/2021,256524
Africa,,11/14/2021,263155
Africa,,11/15/2021,272326
Africa,,11/16/2021,280269
Africa,,11/17/2021,290842
Africa,,11/18/2021,295394
Africa,,11/19/2021,301875
Africa,,11/20/2021,305078
Africa,,11/21/2021,318245
Africa,,11/22/2021,337494
Africa,,11/23/2021,350256
Africa,,11/24/2021,356468
Africa,,11/25/2021,368436
Africa,,11/26/2021,389958
Africa,,11/27/2021,405021
Africa,,11/28/2021,413523
Africa,,11/29/2021,431512
Africa,,11/30/2021,445344
Africa,,12/1/2021,452409
Africa,,12/2/2021,452409
Albania,ALB,11/3/2021,2799
Albania,ALB,11/6/2021,8230
Albania,ALB,11/7/2021,8815
Albania,ALB,11/9/2021,14968
Albania,ALB,11/10/2021,18434
Albania,ALB,11/11/2021,21572
Albania,ALB,11/14/2021,28088
Albania,ALB,11/16/2021,34887
Albania,ALB,11/17/2021,38378
Albania,ALB,11/18/2021,41537
Albania,ALB,11/21/2021,47512
Albania,ALB,11/24/2021,57338
Albania,ALB,11/25/2021,60524
Albania,ALB,11/28/2021,65471
Albania,ALB,11/30/2021,67381
Albania,ALB,12/1/2021,70501
Algeria,DZA,11/21/2021,13167
Algeria,DZA,11/26/2021,20340
Anguilla,AIA,11/29/2021,663
Anguilla,AIA,12/1/2021,663
Argentina,ARG,11/15/2021,892457
Argentina,ARG,11/17/2021,1043935
Argentina,ARG,11/19/2021,1203392
Argentina,ARG,11/20/2021,1263315
Argentina,ARG,11/21/2021,1294189
Argentina,ARG,11/22/2021,1327224
Argentina,ARG,11/23/2021,1420213
Argentina,ARG,11/25/2021,1590630
Argentina,ARG,11/27/2021,1769744
Argentina,ARG,11/28/2021,1797485
Argentina,ARG,11/29/2021,1887153
