Region;Country;Date;Total_Cases;New_Cases;Total_Death;New_Death
SEA;Indonesia;2020-03-02;2;2;0;0
SEA;Indonesia;2020-03-03;2;0;0;0
SEA;Indonesia;2020-03-04;2;0;0;0
SEA;Indonesia;2020-03-05;2;0;0;0
SEA;Indonesia;2020-03-06;4;2;0;0
SEA;Indonesia;2020-03-07;4;0;0;0
SEA;Indonesia;2020-03-08;6;2;0;0
SEA;Indonesia;2020-03-09;19;13;0;0
SEA;Indonesia;2020-03-10;27;8;0;0
SEA;Indonesia;2020-03-11;34;7;1;1
SEA;Indonesia;2020-03-12;34;0;1;0
SEA;Indonesia;2020-03-13;69;35;4;3
SEA;Indonesia;2020-03-14;96;27;5;1
SEA;Indonesia;2020-03-15;117;21;5;0
SEA;Indonesia;2020-03-16;134;17;5;0
SEA;Indonesia;2020-03-17;172;38;5;0
SEA;Indonesia;2020-03-18;227;55;19;14
SEA;Indonesia;2020-03-19;311;84;25;6
SEA;Indonesia;2020-03-20;369;58;32;7
SEA;Indonesia;2020-03-21;450;81;38;6
SEA;Indonesia;2020-03-22;514;64;48;10
SEA;Indonesia;2020-03-23;579;65;49;1
SEA;Indonesia;2020-03-24;686;107;55;6
SEA;Indonesia;2020-03-25;790;104;58;3
SEA;Indonesia;2020-03-26;893;103;78;20
SEA;Indonesia;2020-03-27;1046;153;87;9
SEA;Indonesia;2020-03-28;1155;109;102;15
SEA;Indonesia;2020-03-29;1285;130;114;12
SEA;Indonesia;2020-03-30;1414;129;122;8
SEA;Indonesia;2020-03-31;1528;114;136;14
SEA;Indonesia;2020-04-01;1677;149;157;21
SEA;Indonesia;2020-04-02;1790;113;170;13
SEA;Indonesia;2020-04-03;1986;196;181;11
SEA;Indonesia;2020-04-04;2092;106;191;10
SEA;Indonesia;2020-04-05;2273;181;198;7
SEA;Indonesia;2020-04-06;2491;218;209;11
SEA;Indonesia;2020-04-07;2738;247;221;12
SEA;Indonesia;2020-04-08;2956;218;240;19
SEA;Indonesia;2020-04-09;3293;337;280;40
SEA;Indonesia;2020-04-10;3512;219;306;26
SEA;Indonesia;2020-04-11;3842;330;327;21
SEA;Indonesia;2020-04-12;4241;399;373;46
SEA;Indonesia;2020-04-13;4557;316;399;26
SEA;Indonesia;2020-04-14;4839;282;459;60
SEA;Indonesia;2020-04-15;5136;297;469;10
SEA;Indonesia;2020-04-16;5516;380;496;27
SEA;Indonesia;2020-04-17;5923;407;520;24
SEA;Indonesia;2020-04-18;6248;325;535;15
SEA;Indonesia;2020-04-19;6575;327;582;47
SEA;Indonesia;2020-04-20;6760;185;590;8
SEA;Indonesia;2020-04-21;7135;375;616;26
SEA;Indonesia;2020-04-22;7418;283;635;19
SEA;Indonesia;2020-04-23;7775;357;647;12
SEA;Indonesia;2020-04-24;8211;436;689;42
SEA;Indonesia;2020-04-25;8607;396;720;31
SEA;Indonesia;2020-04-26;8882;275;743;23
